iter	Passed	Remaining
0	1	122
1	2	108
2	3	98
3	3	92
4	4	92
5	5	90
6	6	89
7	7	89
8	8	88
9	9	86
10	10	86
11	11	84
12	12	82
13	13	82
14	14	81
15	15	80
16	16	78
17	17	77
18	18	76
19	18	75
20	19	74
21	20	72
22	21	72
23	22	71
24	23	70
25	24	69
26	25	67
27	26	67
28	26	65
29	27	64
30	28	63
31	29	62
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
