iter	Passed	Remaining
0	154	154163
1	156	78039
2	158	52790
3	161	40142
4	163	32459
5	164	27330
6	169	23986
7	171	21216
8	173	19134
9	175	17375
10	177	15959
11	179	14790
12	182	13838
13	183	12950
14	186	12239
15	188	11583
16	190	11009
17	192	10490
18	194	10024
19	196	9621
20	198	9272
21	201	8972
22	203	8657
23	205	8372
24	207	8108
25	210	7903
26	213	7677
27	215	7467
28	216	7260
29	218	7061
30	219	6872
31	222	6724
32	224	6563
33	227	6458
34	229	6318
35	231	6195
36	233	6065
37	234	5933
38	236	5815
39	237	5710
40	240	5622
41	243	5543
42	244	5448
43	246	5352
44	248	5263
45	249	5179
46	251	5094
47	254	5041
48	256	4984
49	260	4953
50	262	4881
51	263	4809
52	265	4740
53	268	4701
54	271	4659
55	273	4610
56	275	4561
57	277	4506
58	279	4452
59	280	4402
60	284	4380
61	287	4347
62	289	4301
63	290	4253
64	292	4206
65	294	4162
66	296	4125
67	298	4087
68	300	4050
69	302	4013
70	304	3983
71	306	3944
72	307	3906
73	309	3873
74	311	3836
75	314	3823
76	316	3797
77	319	3774
78	321	3743
79	322	3710
80	324	3679
81	326	3651
82	327	3615
83	329	3596
84	332	3583
85	334	3558
86	336	3531
87	338	3506
88	340	3486
89	342	3464
90	344	3442
91	346	3423
92	349	3406
93	351	3384
94	352	3359
95	354	3339
96	356	3317
97	358	3300
98	360	3281
99	362	3263
100	364	3245
101	366	3228
102	368	3210
103	370	3192
104	373	3182
105	375	3164
106	377	3146
107	378	3127
108	380	3108
109	382	3092
110	384	3076
111	386	3063
112	389	3056
113	391	3042
114	393	3026
115	394	3009
116	396	2989
117	397	2971
118	399	2957
119	401	2942
120	403	2930
121	404	2914
122	407	2904
123	408	2889
124	410	2874
125	413	2866
126	415	2857
127	418	2849
128	420	2837
129	422	2825
130	423	2810
131	425	2797
132	427	2784
133	429	2773
134	433	2776
135	435	2766
136	437	2754
137	439	2746
138	441	2734
139	443	2721
140	445	2712
141	447	2701
142	450	2698
143	452	2687
144	454	2678
145	455	2666
146	457	2657
147	461	2655
148	463	2645
149	465	2635
150	466	2623
151	468	2612
152	470	2605
153	474	2603
154	476	2598
155	478	2589
156	480	2580
157	482	2568
158	484	2560
159	485	2550
160	489	2549
161	491	2540
162	493	2532
163	495	2524
164	497	2515
165	499	2507
166	501	2503
167	505	2502
168	510	2507
169	512	2503
170	514	2494
171	517	2489
172	519	2485
173	521	2476
174	524	2470
175	526	2463
176	527	2454
177	529	2444
178	531	2436
179	534	2436
180	536	2428
181	539	2423
182	540	2415
183	542	2405
184	544	2396
185	545	2386
186	548	2382
187	551	2382
188	553	2374
189	554	2365
190	556	2357
191	558	2349
192	560	2342
193	564	2343
194	566	2338
195	568	2330
196	569	2322
197	571	2313
198	572	2304
199	574	2296
200	577	2294
201	579	2288
202	581	2281
203	582	2273
204	584	2268
205	586	2260
206	587	2251
207	590	2247
208	593	2247
209	595	2241
210	597	2235
211	599	2228
212	601	2223
213	603	2215
214	605	2210
215	607	2206
216	609	2199
217	611	2193
218	613	2186
219	615	2181
220	617	2174
221	618	2167
222	621	2164
223	624	2161
224	626	2156
225	627	2150
226	629	2145
227	631	2139
228	636	2142
229	640	2143
230	644	2144
231	645	2137
232	649	2136
233	652	2134
234	654	2132
235	656	2125
236	658	2119
237	660	2113
238	661	2107
239	663	2101
240	666	2098
241	668	2094
242	670	2088
243	672	2083
244	674	2077
